place_id,name,address,phone,international_phone,website,rating,review_count,business_status,types,latitude,longitude,google_maps_url,final_url,emails,phone_found_on_site,contact_page,about_page,booking_page,instagram,facebook,linkedin,x,tiktok,youtube,has_contact_form,has_booking,booking_hint,tech_stack,crawl_status,lead_score,pitch_angle
ChIJfROe0TszjoARc1ujxTjXHR0,Mobile Auto Works,"1564 Sanborn Ave, San Jose, CA 95110, USA",(408) 422-6446,+1 408-422-6446,http://www.mobileautoworks.org/,4.7,155,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.3127066,-121.8728272,https://maps.google.com/?cid=2098069640258476915,https://www.mobileautoworks.org/,info@mobileautoworks.org,(408) 422-6446,https://www.mobileautoworks.org/contact,https://www.mobileautoworks.org/about,,,,,,,https://www.youtube.com/user/mobilemechanicsj,TRUE,TRUE,appointment,,ok,75,Strong business: pitch overflow call handling and after-hours conversion
ChIJbfTGV-zKj4ARCe2RkR5QfIg,Stress-Free Auto Care /Tires Unlimited,"3744 Stevens Creek Blvd, San Jose, CA 95117, USA",(408) 418-2111,+1 408-418-2111,http://www.stressfree.com/shops/san-jose,4.8,1500,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.322988,-121.967227,https://maps.google.com/?cid=9834823778491821321,https://www.stressfree.com/shops/san-jose,user@domain.com,888-887-1213,https://www.stressfree.com/contact-us,https://www.stressfree.com/about/stress-free-advantage,,,,,,,,TRUE,TRUE,schedule,squarespace,ok,70,Strong business: pitch overflow call handling and after-hours conversion
ChIJjykCKlHLj4ARj5HtUo17ejM,"Michael & Company Auto Body And Auto Repair Shop in San Jose, Ca.","380 Lincoln Ave, San Jose, CA 95126, USA",(408) 286-2988,+1 408-286-2988,https://michaelandcompany.com/,4.8,494,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.3215891,-121.9079355,https://maps.google.com/?cid=3709413090004930959,https://michaelandcompany.com/,info@michaelandcompany.com,408-286-2988,https://michaelandcompany.com/contact-us/,,,,https://www.facebook.com/pages/Michael-Co/103636709710909,,https://twitter.com/MichaelandCoSJ,,,TRUE,TRUE,schedule,wordpress,ok,70,Strong business: pitch overflow call handling and after-hours conversion
ChIJba9A3ZjMj4AR_yIbgsG2los,AutoMend,"350 N Montgomery St, San Jose, CA 95110, USA",(408) 286-5404,+1 408-286-5404,https://automend-ca.com/,4.9,77,OPERATIONAL,car_repair|establishment|point_of_interest,37.3364372,-121.904294,https://maps.google.com/?cid=10058427760006341375,https://automend-ca.com/,automendca@gmail.com,(408) 286-5404,https://automend-ca.com/contact/,https://automend-ca.com/about/,,,,,,,,TRUE,TRUE,appointment,wordpress,ok,68,General fit: pitch AI receptionist + lead capture
ChIJNY1h0VnLj4AR-FrFUrDWZz0,Akins Auto Repair,"351 Keyes St, San Jose, CA 95112, USA",(408) 885-1898,+1 408-885-1898,https://www.akinsautorepair.com/,4.9,700,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.3236377,-121.8710072,https://maps.google.com/?cid=4424741211706055416,https://akinsautorepair.com/,info@akinsautorepair.com,(408) 885-1898,https://akinsautorepair.com/contact/,,,,https://www.facebook.com/AkinsAutoRepair?sk=wall,,https://twitter.com/akinsautorepair,,https://www.youtube.com/user/akinsautorepair/,TRUE,TRUE,schedule,wordpress,ok,63,Strong business: pitch overflow call handling and after-hours conversion
ChIJLa0ttajMj4ARvE-MUKMrCuU,Ken's Auto Repair,"432 W San Carlos St, San Jose, CA 95110, USA",(408) 293-5332,+1 408-293-5332,http://kens-auto-repair-san-jose.jany.io/,4.7,43,OPERATIONAL,car_repair|establishment|point_of_interest,37.3266007,-121.8960123,https://maps.google.com/?cid=16504051764883640252,https://kens-auto-repair-san-jose.edan.io,,+1 408-293-5332,https://kens-auto-repair-san-jose.edan.io/contact,https://kens-auto-repair-san-jose.edan.io/about,,,,,,,,TRUE,FALSE,,,ok,55,No booking flow found: pitch AI booking + missed-call auto text
ChIJhxUWgCUzjoARFMj88xAtqXY,Star Auto Services,"1555 S 10th St, San Jose, CA 95112, USA",(408) 280-7002,+1 408-280-7002,http://www.starautoservices.net/,4.8,124,OPERATIONAL,car_repair|establishment|point_of_interest,37.3176985,-121.8650915,https://maps.google.com/?cid=8550414918375753748,http://www.starautoservices.net/,,,,,,,,,,,,TRUE,TRUE,schedule,,ok,50,Strong business: pitch overflow call handling and after-hours conversion
ChIJM8BWz_IxjoARSpMkeSmlrPI,Reliable Auto Repair,"463 Blossom Hill Rd #G4, San Jose, CA 95123, USA",(408) 229-1010,+1 408-229-1010,https://www.reliableautorepair.net/,4.8,576,OPERATIONAL,car_repair|establishment|point_of_interest,37.2525431,-121.8329077,https://maps.google.com/?cid=17486533050717475658,https://www.reliableautorepair.net/,,408-229-1010,https://www.reliableautorepair.net/contact-us/,https://www.reliableautorepair.net/about/,,https://www.instagram.com/sanjosereliableauto,https://www.facebook.com/reliable.autosj/,,https://x.com/_reliableauto,,,TRUE,TRUE,schedule,wordpress,ok,45,Strong business: pitch overflow call handling and after-hours conversion
ChIJc8x3qT8zjoAR1jI75Tox2k8,Almaden Auto Repair,"1680 Almaden Expy suite d, San Jose, CA 95125, USA",(408) 292-1260,+1 408-292-1260,http://www.almadenautorepair.com/,4.4,190,OPERATIONAL,car_repair|establishment|point_of_interest,37.3068015,-121.876407,https://maps.google.com/?cid=5753965602942956246,http://www.almadenautorepair.com/,,,,,,,,,,,,FALSE,FALSE,,,ok,45,Weak contact path: pitch AI receptionist + SMS lead capture
ChIJI9kSGBPNj4ARKVV1aeCPjcI,Alum Rock Auto Care,"2710 Alum Rock Ave, San Jose, CA 95127, USA",(408) 254-3780,+1 408-254-3780,https://www.facebook.com/Alum-Rock-Auto-Care-332513980145211/,4.5,125,OPERATIONAL,car_repair|establishment|point_of_interest,37.3622688,-121.8344351,https://maps.google.com/?cid=14019019409078965545,,,,,,,,,,,,,FALSE,FALSE,,,homepage_failed,45,Weak contact path: pitch AI receptionist + SMS lead capture
