place_id,name,address,phone,international_phone,website,rating,review_count,business_status,types,latitude,longitude,google_maps_url
ChIJNY1h0VnLj4AR-FrFUrDWZz0,Akins Auto Repair,"351 Keyes St, San Jose, CA 95112, USA",(408) 885-1898,+1 408-885-1898,https://www.akinsautorepair.com/,4.9,700,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.32363770000001,-121.8710072,https://maps.google.com/?cid=4424741211706055416
ChIJQxhQfFPLj4ARUEGK5ofWc1g,L & T Auto Repair,"701 Lincoln Ave, San Jose, CA 95126, USA",(408) 279-9301,+1 408-279-9301,https://www.vehiclecarenetwork.com/california-vcn-shops/l-%26-t-auto-repair,4.9,116,OPERATIONAL,car_repair|establishment|point_of_interest,37.3166807,-121.9079282,https://maps.google.com/?cid=6373673776836133200
ChIJ160QTXTMj4ARrf6GgECVt2o,Best Auto Repair,"694 Kings Row, San Jose, CA 95112, USA",(408) 499-6378,+1 408-499-6378,http://bestautorepairsj.com/,4.7,28,OPERATIONAL,car_repair|establishment|point_of_interest,37.3718968,-121.8987799,https://maps.google.com/?cid=7689778993025187501
ChIJc8x3qT8zjoAR1jI75Tox2k8,Almaden Auto Repair,"1680 Almaden Expy suite d, San Jose, CA 95125, USA",(408) 292-1260,+1 408-292-1260,http://www.almadenautorepair.com/,4.4,190,OPERATIONAL,car_repair|establishment|point_of_interest,37.3068015,-121.876407,https://maps.google.com/?cid=5753965602942956246
ChIJjykCKlHLj4ARj5HtUo17ejM,"Michael & Company Auto Body And Auto Repair Shop in San Jose, Ca.","380 Lincoln Ave, San Jose, CA 95126, USA",(408) 286-2988,+1 408-286-2988,https://michaelandcompany.com/,4.8,494,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.3215891,-121.9079355,https://maps.google.com/?cid=3709413090004930959
ChIJnWTmL1HLj4ARvUkAjXVT79M,Dhillon Motorsports Tire and Auto,"646 Auzerais Ave, San Jose, CA 95126, USA",(408) 999-0699,+1 408-999-0699,http://www.dhillonmotorsports.com/,4.9,933,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.3228625,-121.8998021,https://maps.google.com/?cid=15271516625778526653
ChIJI9kSGBPNj4ARKVV1aeCPjcI,Alum Rock Auto Care,"2710 Alum Rock Ave, San Jose, CA 95127, USA",(408) 254-3780,+1 408-254-3780,https://www.facebook.com/Alum-Rock-Auto-Care-332513980145211/,4.5,125,OPERATIONAL,car_repair|establishment|point_of_interest,37.3622688,-121.8344351,https://maps.google.com/?cid=14019019409078965545
ChIJM8BWz_IxjoARSpMkeSmlrPI,Reliable Auto Repair,"463 Blossom Hill Rd #G4, San Jose, CA 95123, USA",(408) 229-1010,+1 408-229-1010,https://www.reliableautorepair.net/,4.8,576,OPERATIONAL,car_repair|establishment|point_of_interest,37.2525431,-121.8329077,https://maps.google.com/?cid=17486533050717475658
ChIJbfTGV-zKj4ARCe2RkR5QfIg,Stress-Free Auto Care /Tires Unlimited,"3744 Stevens Creek Blvd, San Jose, CA 95117, USA",(408) 418-2111,+1 408-418-2111,http://www.stressfree.com/shops/san-jose,4.8,1500,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.322988,-121.967227,https://maps.google.com/?cid=9834823778491821321
ChIJfROe0TszjoARc1ujxTjXHR0,Mobile Auto Works,"1564 Sanborn Ave, San Jose, CA 95110, USA",(408) 422-6446,+1 408-422-6446,http://www.mobileautoworks.org/,4.7,155,OPERATIONAL,car_repair|establishment|point_of_interest|store,37.3127066,-121.8728272,https://maps.google.com/?cid=2098069640258476915
ChIJLa0ttajMj4ARvE-MUKMrCuU,Ken's Auto Repair,"432 W San Carlos St, San Jose, CA 95110, USA",(408) 293-5332,+1 408-293-5332,http://kens-auto-repair-san-jose.jany.io/,4.7,43,OPERATIONAL,car_repair|establishment|point_of_interest,37.3266007,-121.8960123,https://maps.google.com/?cid=16504051764883640252
ChIJhS0Oc1YyjoAREV7f4agAY-U,Thanh's Auto Services & Repair,"2851 Monterey Rd, San Jose, CA 95111, USA",(408) 227-8622,+1 408-227-8622,,4.8,123,OPERATIONAL,car_repair|establishment|point_of_interest,37.2913889,-121.8505556,https://maps.google.com/?cid=16529055782723870225
ChIJba9A3ZjMj4AR_yIbgsG2los,AutoMend,"350 N Montgomery St, San Jose, CA 95110, USA",(408) 286-5404,+1 408-286-5404,https://automend-ca.com/,4.9,77,OPERATIONAL,car_repair|establishment|point_of_interest,37.3364372,-121.904294,https://maps.google.com/?cid=10058427760006341375
ChIJG9k0x-c1joARb1Tutgm6cC4,Alvin's Auto Center,"850 Lincoln Ave, San Jose, CA 95126, USA",(408) 564-0867,+1 408-564-0867,https://www.alvinsautocenter.com/,4.9,356,OPERATIONAL,car_repair|establishment|point_of_interest,37.314867,-121.9051075,https://maps.google.com/?cid=3346379074022823023
ChIJ_6WrzyrNj4ARHupgHk1ZtBs,Rodriguez Auto Repair,"299 S 24th St #2, San Jose, CA 95116, USA",(408) 903-6412,+1 408-903-6412,https://www.vehiclecarenetwork.com/california-vcn-shops/rodriguez-auto-repair,4.7,55,OPERATIONAL,car_repair|establishment|point_of_interest,37.34219969999999,-121.8634904,https://maps.google.com/?cid=1996318722588994078
ChIJhxUWgCUzjoARFMj88xAtqXY,Star Auto Services,"1555 S 10th St, San Jose, CA 95112, USA",(408) 280-7002,+1 408-280-7002,http://www.starautoservices.net/,4.8,124,OPERATIONAL,car_repair|establishment|point_of_interest,37.3176985,-121.8650915,https://maps.google.com/?cid=8550414918375753748
ChIJEfq3xhUyjoARGbYX7x2e7Ts,Go To Auto Care,"4236 Monterey Rd A, San Jose, CA 95111, USA",(408) 281-2040,+1 408-281-2040,http://www.gotoautocaresj.com/,4.9,308,OPERATIONAL,car_repair|establishment|point_of_interest,37.276038,-121.831614,https://maps.google.com/?cid=4318281469120722457
ChIJB7zJ92PMj4AR4VxycjoBYfs,Diamond Auto Repair,"995 Berryessa Rd, San Jose, CA 95133, USA",(408) 453-1990,+1 408-453-1990,,4.9,41,OPERATIONAL,car_repair|establishment|point_of_interest,37.3645351,-121.8855824,https://maps.google.com/?cid=18113760526800674017
ChIJz0y3uqnMj4AR1YlCsIPuTcg,GIC Car Clinic,"375 Barack Obama Blvd, San Jose, CA 95126, USA",(408) 617-9775,+1 408-617-9775,https://autorepairshopsanjose.com/,4.7,643,OPERATIONAL,car_repair|establishment|point_of_interest,37.3236199,-121.9000738,https://maps.google.com/?cid=14433454630157584853
ChIJ7_IlKYnMj4ARN3FxZEzZDxo,Mikee's Auto Repair,"698 N 13th St, San Jose, CA 95112, USA",(408) 287-1105,+1 408-287-1105,,4.5,97,OPERATIONAL,car_repair|establishment|point_of_interest,37.354866,-121.8873672,https://maps.google.com/?cid=1877958491762684215
